"ModelName" "5" "20" "60" "252"
"1" "arch" 6.71681738917611 7.17924372279927 9.11302255248844 12.6341121183488
"2" "garch" 1.57809495771756 1.57823127966735 1.57885469188096 1.57496666106177
"3" "eGarch" 1.57624749408428 1.57811961393846 1.57963046565393 1.5781615770907
"4" "gjrGarch" 1.58965171487111 1.59284692063822 1.59639466972558 1.59712089049099
"5" "EWMA" 1.58363784554376 1.58521379502833 1.58510763203036 1.58393381996962
"6" "apArch" 1.6330306814144 1.63918215480306 1.64255651470273 1.64973256493306
