"ModelName" "fit.roll" "fit.mov3"
"1" "arch" 1.29721501876894 1.28774268846134
"2" "garch" 1.20055358920959 1.19643997253973
"3" "eGarch" 1.14739650578769 1.14434228904799
"4" "gjrGarch" NA NA
"5" "EWMA" 1.14690279505962 1.14693955065713
"6" "apArch" NA NA
