"Model" "Dist" "fit.mov3_20" "fit.mov3_5" "fit.mov3_60" "fit.roll_20" "fit.roll_5" "fit.roll_60"
"1" "apArch" "norm" 1.16601957080664 1.16033868039902 1.16623346747759 1.17967379284546 1.17687871038649 1.18686567566495
"2" "arch" "norm" 70.1219534203378 86.3731380221749 54.4967612055356 62.7888365838204 31.3614004992327 64.8712546020717
"3" "eGarch" "norm" 1.14933322087013 1.1430060799964 1.1998026726736 1.15178071230132 1.1466102516869 1.16275352020242
"4" "EWMA" "norm" 1.15108540076565 1.14960420096073 1.14981873067063 1.15085206313593 1.14976043908952 1.15041419493746
"5" "garch" "norm" 1.20839578732734 1.20476036384668 1.21218045155478 1.212841602916 1.20969100888832 1.21674946098947
"6" "gjrGarch" "norm" 1.1698122328099 1.16723790116279 1.1724558017714 1.17426654036081 1.17183242232574 1.17768822594206
