"ModelName" "fit.roll" "fit.mov2" "fit.mov5"
"1" "arch" 1.7295552545622 1.6473332697156 1.67267669498831
"2" "garch" 1.58050252353416 NA NA
"3" "eGarch" 1.58478197333607 NA 1.57723332026238
"4" "gjrGarch" 1.60254837797053 NA NA
"5" "EWMA" 1.5845085244121 1.5888179461854 1.58554373563469
"6" "apArch" 1.63811139579021 NA NA
