"arch" "garch" "eGarch" "gjrGarch" "EWMA" "apArch"
"arch" NA 0.99391108467319 0.994047907291904 0.994023060956635 0.993852646076936 0.993962951742676
"garch" 0.00608891532680955 NA 0.708007147427913 0.704826980193669 0.276446118370018 0.647573685735032
"eGarch" 0.00595209270809616 0.291992852572087 NA 0.277771051378508 0.286732152756966 0.228213302924822
"gjrGarch" 0.005976939043365 0.295173019806331 0.722228948621492 NA 0.288334335599995 0.206549720284786
"EWMA" 0.0061473539230643 0.723553881629982 0.713267847243034 0.711665664400005 NA 0.682900130927429
"apArch" 0.00603704825732409 0.352426314264968 0.771786697075178 0.793450279715214 0.317099869072571 NA
