"Model" "Dist" "fit.mov3_20" "fit.mov3_5" "fit.mov3_60" "fit.roll_20" "fit.roll_5" "fit.roll_60"
"1" "apArch" "norm" 0.257352398204926 0.252571758632734 0.249554585086421 0.266671486966001 0.265359521474459 0.274740805442747
"2" "arch" "norm" 8.88416333251983 4.28254893808168 0.597864699513658 0.510636751280226 12.596444418058 0.495181889817031
"3" "eGarch" "norm" 0.22819082483645 0.235877616376192 0.244728084021963 0.234034645219309 0.229545813488883 0.234530022130473
"4" "EWMA" "norm" 0.226617525072473 0.225815749368092 0.224988546457772 0.226611404435492 0.22619754274644 0.225806493828418
"5" "garch" "norm" 0.30828311638089 0.303017368059233 0.314764095904731 0.315554135568546 0.311056057025207 0.322529943112484
"6" "gjrGarch" "norm" 0.257611539038154 0.25512711855102 0.258794352289803 0.262470681856791 0.259976764926841 0.265250460255044
