"ModelName" "fit.roll" "fit.mov2" "fit.mov5"
"1" "arch" 2.55011459186005 2.52923645764796 2.52423734954019
"2" "garch" 2.44167461858189 NA NA
"3" "eGarch" 2.443073959697 NA 2.44215934686342
"4" "gjrGarch" 2.44432661425844 NA NA
"5" "EWMA" 2.45977631395923 2.46448873265868 2.47310114993087
"6" "apArch" 2.44762145379431 NA NA
