"ModelName" "norm" "sstd"
"1" "arch" 7.87141743452637 2.55073219341435
"2" "garch" 2.43372393055848 2.43746472539914
"3" "eGarch" 2.44534150775768 2.45365774363346
"4" "gjrGarch" 2.44706681936703 2.44632503995108
"5" "EWMA" 2.46025617951292 2.45558512779517
"6" "apArch" 2.45876203384224 2.46087720729263
