"ModelName" "norm" "sstd"
"1" "arch" 7.09803647963682 1.7295552545622
"2" "garch" 1.58186724820523 1.58050252353416
"3" "eGarch" 1.58227770124924 1.58478197333607
"4" "gjrGarch" 1.60071252251466 1.60254837797053
"5" "EWMA" 1.58413301483044 1.5845085244121
"6" "apArch" 1.64617299191344 1.63811139579021
