"ModelName" "norm" "sstd"
"1" "arch" 6.81088601462631 2.55011459186005
"2" "garch" 2.43580713978805 2.44167461858189
"3" "eGarch" 2.43971485924379 2.443073959697
"4" "gjrGarch" 2.44565533227854 2.44432661425844
"5" "EWMA" 2.45616513947169 2.45977631395923
"6" "apArch" 2.44891572084289 2.44762145379431
