"ModelName" "fit.roll" "fit.mov3"
"1" "arch" 0.514502230644001 0.486792258987033
"2" "garch" 0.296368082607738 0.289882914289199
"3" "eGarch" 0.231014025035332 0.243750035524283
"4" "gjrGarch" NA NA
"5" "EWMA" 0.223136834388706 0.223000506414246
"6" "apArch" NA NA
